iter	Passed	Remaining
406	5912	8615
407	5933	8609
408	5947	8594
409	5961	8579
410	5977	8565
411	5992	8551
412	6007	8539
413	6025	8528
414	6041	8516
415	6056	8502
416	6071	8488
417	6085	8473
418	6099	8458
419	6115	8444
420	6129	8429
421	6144	8415
422	6158	8400
423	6173	8387
424	6188	8372
425	6202	8357
426	6217	8342
427	6232	8330
428	6247	8314
429	6261	8299
430	6276	8285
431	6290	8270
432	6306	8258
433	6321	8244
434	6337	8231
435	6351	8216
436	6366	8201
437	6381	8187
438	6396	8173
439	6410	8158
440	6424	8143
441	6439	8129
442	6501	8174
443	6515	8158
444	6530	8144
445	6544	8129
446	6558	8113
447	6572	8097
448	6586	8082
449	6600	8067
450	6614	8052
451	6629	8037
452	6645	8024
453	6659	8009
454	6673	7993
455	6687	7978
456	6703	7965
457	6717	7949
458	6733	7935
459	6746	7920
460	6761	7905
461	6775	7889
462	6789	7874
463	6805	7861
464	6818	7845
465	6833	7831
466	6848	7816
467	6862	7800
468	6876	7785
469	6890	7769
470	6903	7753
471	6917	7737
472	6931	7723
473	6945	7707
474	6960	7692
475	6973	7677
476	6987	7661
477	7002	7647
478	7017	7632
479	7032	7618
480	7047	7603
481	7061	7589
482	7076	7574
483	7089	7558
484	7105	7545
485	7120	7530
486	7136	7517
487	7152	7504
488	7166	7488
489	7179	7472
490	7194	7458
491	7208	7442
492	7223	7428
493	7238	7413
494	7252	7399
495	7267	7384
496	7281	7369
497	7297	7355
498	7311	7341
499	7326	7326
500	7341	7311
501	7356	7297
502	7371	7283
503	7386	7269
504	7400	7253
505	7414	7238
506	7429	7224
507	7443	7209
508	7457	7193
509	7472	7179
510	7488	7165
511	7502	7150
512	7516	7135
513	7531	7121
514	7545	7106
515	7560	7092
516	7575	7077
517	7589	7061
518	7603	7046
519	7616	7030
520	7631	7015
521	7645	7001
522	7660	6986
523	7675	6972
524	7690	6957
525	7704	6942
526	7719	6928
527	7734	6914
528	7748	6898
529	7764	6885
530	7778	6870
531	7792	6854
532	7807	6840
533	7821	6825
534	7836	6811
535	7850	6796
536	7866	6782
537	7881	6768
538	7895	6753
539	7910	6738
540	7924	6723
541	7939	6709
542	7953	6693
543	7979	6688
544	7993	6673
545	8007	6657
546	8021	6642
547	8034	6627
548	8048	6611
549	8065	6598
550	8079	6583
551	8093	6568
552	8107	6553
553	8122	6538
554	8136	6524
555	8150	6508
556	8166	6495
557	8180	6480
558	8194	6464
559	8209	6449
560	8223	6435
561	8238	6420
562	8252	6405
563	8268	6391
564	8284	6378
565	8300	6364
566	8314	6349
567	8329	6335
568	8342	6319
569	8358	6305
570	8372	6290
571	8387	6276
572	8401	6260
573	8415	6245
574	8430	6230
575	8443	6215
576	8457	6200
577	8473	6186
578	8487	6171
579	8502	6156
580	8516	6141
581	8532	6128
582	8547	6114
583	8563	6099
584	8578	6085
585	8593	6070
586	8607	6055
587	8620	6040
588	8635	6025
589	8649	6010
590	8662	5995
591	8678	5981
592	8693	5966
593	8707	5951
594	8721	5936
595	8735	5921
596	8749	5906
597	8763	5891
598	8778	5876
599	8793	5862
600	8807	5847
601	8822	5832
602	8835	5817
603	8850	5802
604	8864	5787
605	8880	5773
606	8894	5758
607	8909	5744
608	8923	5729
609	8939	5715
610	8953	5700
611	8967	5685
612	8982	5670
613	8997	5656
614	9012	5641
615	9026	5626
616	9040	5611
617	9054	5596
618	9070	5583
619	9085	5568
620	9100	5554
621	9114	5539
622	9131	5525
623	9145	5511
624	9161	5496
625	9175	5481
626	9191	5467
627	9205	5453
628	9219	5437
629	9234	5423
630	9248	5408
631	9263	5393
632	9278	5379
633	9294	5365
634	9308	5350
635	9323	5336
636	9337	5320
637	9351	5306
638	9366	5291
639	9381	5277
640	9396	5262
641	9414	5249
642	9430	5235
643	9444	5221
644	9459	5206
645	9475	5192
646	9490	5178
647	9505	5163
648	9519	5148
649	9534	5134
650	9549	5119
651	9564	5105
652	9579	5090
653	9594	5076
654	9608	5061
655	9623	5046
656	9637	5031
657	9651	5016
658	9667	5002
659	9682	4987
660	9698	4973
661	9712	4959
662	9727	4944
663	9742	4929
664	9755	4914
665	9769	4899
666	9784	4884
667	9799	4870
668	9814	4856
669	9829	4841
670	9843	4826
671	9858	4812
672	9874	4797
673	9888	4782
674	9903	4768
675	9917	4753
676	9931	4738
677	9946	4723
678	9961	4709
679	9976	4694
680	9990	4679
681	10005	4665
682	10019	4650
683	10033	4635
684	10048	4620
685	10062	4605
686	10075	4590
687	10090	4576
688	10105	4561
689	10121	4547
690	10135	4532
691	10150	4517
692	10164	4502
693	10178	4487
694	10193	4473
695	10207	4458
696	10222	4444
697	10236	4428
698	10252	4414
699	10266	4399
700	10280	4385
701	10295	4370
702	10310	4356
703	10326	4341
704	10339	4326
705	10353	4311
706	10366	4296
707	10379	4280
708	10392	4265
709	10407	4251
710	10420	4235
711	10433	4220
712	10511	4231
713	10540	4221
714	10562	4210
715	10589	4200
716	10611	4188
717	10623	4172
718	10637	4157
719	10652	4142
720	10664	4126
721	10678	4111
722	10691	4096
723	10705	4080
724	10719	4065
725	10733	4050
726	10746	4035
727	10759	4020
728	10772	4004
729	10788	3990
730	10801	3974
731	10815	3959
732	10828	3944
733	10841	3928
734	10854	3913
735	10867	3897
736	10880	3882
737	10893	3867
738	10906	3851
739	10920	3836
740	10933	3821
741	10946	3806
742	10959	3790
743	10972	3775
744	10985	3760
745	10999	3745
746	11012	3729
747	11024	3714
748	11039	3699
749	11052	3684
750	11065	3668
751	11079	3653
752	11093	3638
753	11106	3623
754	11119	3608
755	11134	3593
756	11147	3578
757	11160	3563
758	11174	3548
759	11187	3532
760	11283	3543
761	11314	3533
762	11341	3522
763	11356	3507
764	11370	3492
765	11384	3477
766	11397	3462
767	11411	3447
768	11426	3432
769	11443	3418
770	11457	3402
771	11471	3387
772	11485	3372
773	11499	3357
774	11512	3342
775	11525	3326
776	11538	3311
777	11551	3296
778	11566	3281
779	11580	3266
780	11593	3251
781	11607	3235
782	11619	3220
783	11633	3205
784	11647	3190
785	11659	3174
786	11673	3159
787	11686	3144
788	11699	3128
789	11713	3113
790	11727	3098
791	11742	3083
792	11757	3069
793	11772	3054
794	11788	3039
795	11804	3025
796	11818	3010
797	11835	2995
798	11850	2981
799	11865	2966
800	11881	2951
801	11895	2936
802	11909	2921
803	11924	2906
804	11938	2892
805	11952	2876
806	11969	2862
807	11985	2847
808	12000	2833
809	12014	2818
810	12029	2803
811	12044	2788
812	12059	2773
813	12075	2759
814	12090	2744
815	12106	2729
816	12124	2715
817	12141	2701
818	12158	2686
819	12172	2672
820	12189	2657
821	12203	2642
822	12222	2628
823	12236	2613
824	12251	2598
825	12268	2584
826	12285	2569
827	12302	2555
828	12320	2541
829	12335	2526
830	12351	2511
831	12368	2497
832	12385	2483
